NCESID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,ENROLLMENT,START_GRAD,END_GRADE,FULL_TIME_
BB121823,BILINGUAL BUDS INC,175  RIVERSIDE BLVD,NEW YORK,NY,10069,NOT AVAILABLE,3,1,8,NEW YORK,36061,US,40.778244,-73.988313,6,PK,TK,2
BB121826,MANHATTAN COUNTRY SCHOOL,7 E 96TH ST,NEW YORK,NY,10128,NOT AVAILABLE,1,1,208,NEW YORK,36061,US,40.787813,-73.954963,181,PK,08,27
00943566,EBENEZER PREPARATORY SCHOOL,5464 KINGS HWY,BROOKLYN,NY,11203,NOT AVAILABLE,1,1,180,KINGS,36047,US,40.641882,-73.925867,162,PK,08,18
A1101658,ECOLE INTERNATIONALE DE NEW YORK (EINY),111 E 22ND ST,NEW YORK,NY,10010,NOT AVAILABLE,3,1,105,NEW YORK,36061,US,40.739473,-73.986111,93,PK,05,12
A1101620,AARON ACADEMY,42 E 30TH ST,NEW YORK,NY,10016,NOT AVAILABLE,4,1,62,NEW YORK,36061,US,40.744741,-73.983795,46,07,10,16
BB963925,EDUCARE CHILD CENTER,720 WASHINGTON AVE 2ND FL,BROOKLYN,NY,11238,NOT AVAILABLE,7,1,11,KINGS,36047,US,40.676241,-73.963811,7,PK,KG,4
A1101659,FAITH CHRISTIAN ACADEMY,1137 E 223RD ST,BRONX,NY,10466,NOT AVAILABLE,7,1,18,BRONX,36005,US,40.882583,-73.848867,10,PK,KG,8
A1101734,TOOBAA ACADEMY,2818 STEINWAY ST STE 206,ASTORIA,NY,11103,NOT AVAILABLE,1,1,8,QUEENS,36081,US,40.765061,-73.914389,5,PK,04,3
A9104815,FOREST HILLS JEWISH CENTER NURSERY SCHOOL & KDGN,10606 QUEENS BLVD,FOREST HILLS,NY,11375,NOT AVAILABLE,7,1,12,QUEENS,36081,US,40.721849,-73.847501,11,PK,KG,1
A1101662,GARVEY SCHOOL,100 DREISER LOOP,BRONX,NY,10475,NOT AVAILABLE,6,1,47,BRONX,36005,US,40.877111,-73.828889,39,PK,05,8
A0902294,GILLEN BREWER SCHOOL,410 E 92ND ST,NEW YORK,NY,10128,NOT AVAILABLE,4,1,80,NEW YORK,36061,US,40.780177,-73.945821,69,PK,PK,11
00920141,GOOD SHEPHERD SCHOOL,620 ISHAM ST,NEW YORK,NY,10034,NOT AVAILABLE,1,1,135,NEW YORK,36061,US,40.86925,-73.92073,123,PK,08,12
BB081219,VERNON AVENUE CHILDRENS SCHOOL,386 VERNON AVE,BROOKLYN,NY,11206,NOT AVAILABLE,7,1,8,KINGS,36047,US,40.696019,-73.93541,7,PK,KG,1
00942201,VILLAGE COMMUNITY SCHOOL,272 W 10TH ST,NEW YORK,NY,10014,NOT AVAILABLE,1,1,362,NEW YORK,36061,US,40.733329,-74.008001,335,KG,08,27
A1101665,GREENE HILL SCHOOL,39 ADELPHI ST,BROOKLYN,NY,11205,NOT AVAILABLE,6,1,71,KINGS,36047,US,40.696922,-73.972437,59,PK,03,12
A1171233,WILLIAMSBURG NORTHSIDE SCHOOL,70HAVEMEYER ST,BROOKLYN,NY,11211,NOT AVAILABLE,1,1,24,KINGS,36047,US,40.71462,-73.95525,22,PK,02,2
BB963585,HANDS & HEARTS LEARNING CENTER,564 THOMAS S BOYLAND ST,BROOKLYN,NY,11212,NOT AVAILABLE,1,1,28,KINGS,36047,US,40.666943,-73.913158,24,PK,05,4
A1101740,WORLD CLASS LEARNING ACADEMY,44 E 2ND ST,NEW YORK,NY,10003,NOT AVAILABLE,1,1,20,NEW YORK,36061,US,40.724872,-73.989806,15,PK,04,5
A1101741,WORLD HARVEST DELIVERANCE CENTER CHRISTIAN ACADEMY,1521 CENTRAL AVE,FAR ROCKAWAY,NY,11691,NOT AVAILABLE,1,1,18,QUEENS,36081,US,40.60535,-73.751469,12,PK,05,6
A0507969,HANOVER PLACE CHILD CARE,15 HANOVER PL,BROOKLYN,NY,11201,NOT AVAILABLE,7,1,13,KINGS,36047,US,40.688743,-73.98227,12,PK,KG,1
